"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"29","199.80203689992297","48.07524303930955","0.0164794921875","0.0224609375","0.010498046875","1560","0.00018341387317615332","24","0.00018341387317615332","0","0.00018341387317615332","0.00018341387317615332","38:68;28:68;30:68","38:0.0021827623695999387;28:0.00352465973929017;30:0.0021319271434662723","38:0.0024189221478559952;28:0.0022821894219501038;30:0.0025595766777375406","0.0164794921875","Yes"
"30","193.75008557257215","146.19168812019748","0.0096435546875","0.01416015625","0.005126953125","1560","0.00023318229821261868","24","0.00023318229821261868","0","0.00023318229821261868","0.00023318229821261868","31:68;29:68","31:0.0026814338718385844;29:0.0021319271434662723","31:0.003388559549501763;29:0.0025595766777375406","0.0096435546875","Yes"
"31","60.22066799400322","58.31749135504064","0.0145263671875","0.020263671875","0.0087890625","1560","0.0003797325325241392","24","0.0003797325325241392","0","0.0003797325325241392","0.0003797325325241392","30:68;32:68;18:68","30:0.0026814338718385844;32:0.030609677153993597;18:0.0029638880008872326","30:0.003388559549501763;32:0.011097455179576637;18:0.002931309344756161","0.0145263671875","Yes"
"32","192.9279664323778","179.31451361272673","0.0340576171875","0.033203125","0.034912109375","1560","0.0003095178260628472","24","0.0003095178260628472","0","0.0003095178260628472","0.0003095178260628472","31:68;33:68","31:0.030609677153993597","31:0.011097455179576637","0.0340576171875","Yes"
"33","169.50267971622725","118.95936557103924","0.021240234375","0.024169921875","0.018310546875","1560","0.0002628305458604915","24","0.0002628305458604915","0","0.0002628305458604915","0.0002628305458604915","39:68;32:68;34:68","39:0.00178297557891835;34:0.0022376840534028553","39:0.001571673315942268;34:0.0021131089779457546","0.021240234375","Yes"
"34","141.07387443730886","69.58109134264097","0.0177001953125","0.012451171875","0.02294921875","1560","0.0007302856034977905","24","0.0007302856034977905","0","0.0007302856034977905","0.0007302856034977905","33:68;35:68","33:0.0022376840534028553;35:0.0018600143894913768","33:0.0021131089779457546;35:0.0018076176693246349","0.0177001953125","Yes"
"35","184.18402432271512","37.30001686284285","0.0177001953125","0.024169921875","0.01123046875","1560","0.00023021884595727192","24","0.00023021884595727192","0","0.00023021884595727192","0.00023021884595727192","19:68;34:68","19:0.0018280191538831148;34:0.0018600143894913768","19:0.0012963164363336;34:0.0018076176693246349","0.0177001953125","Yes"
"36","187.81881784503165","174.29771896058392","0.0126953125","0.0107421875","0.0146484375","1560","0.00026242554074393134","24","0.00026242554074393134","0","0.00026242554074393134","0.00026242554074393134","41:68;21:68","41:0.001961808582244484;21:0.006290391019904695","41:0.0019431794591155405;21:0.004239009958532325","0.0126953125","Yes"
"37","204.3281575667414","208.86443850146807","0.017822265625","0.02099609375","0.0146484375","1560","0.00022451846100036236","24","0.00022451846100036236","0","0.00022451846100036236","0.00022451846100036236","45:68;25:68","45:0.0018036451806945075;25:0.0018379554778954477","45:0.0021134837138650497;25:0.0015463355107724341","0.017822265625","Yes"
"38","89.19280038637638","110.37319790627497","0.0103759765625","0.013427734375","0.00732421875","1560","0.0003705999301770801","24","0.0003705999301770801","0","0.0003705999301770801","0.0003705999301770801","29:68;49:68","29:0.0021827623695999387;49:0.006798103785841975","29:0.0024189221478559952;49:0.006094460192127477","0.0103759765625","Yes"
