"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"27","135.0434693500107","118.34132405614153","0.0040283203125","0.015625","0.000732421875","2584","0.0004601489085662519","36","0.0004601489085662519","0","0.0004601489085662519","0.0004601489085662519","26:0.011258541605940642;28:0.001707256709498034;17:0.0019710225155409045","26:68;28:68;17:68","26:0.014236393755572202;28:0.001023807433942897;17:0.0016816345897364138","0.0040283203125","Yes"
"28","133.64370527502277","31.753852012616587","0.0152587890625","0.02734375","0.003173828125","2584","0.00024587866407455906","36","0.00024587866407455906","0","0.00024587866407455906","0.00024587866407455906","27:0.001707256709498034;29:0.002869017992049777","27:68;29:68","27:0.001023807433942897;29:0.001972032693426329","0.0152587890625","Yes"
"29","70.4483099917272","91.12639688608822","0.087158203125","0.1728515625","0.00146484375","2584","0.00036575176842619506","36","0.00036575176842619506","0","0.00036575176842619506","0.00036575176842619506","38:0.0022383068785329086;28:0.002869017992049777;30:0.002124611390097675","38:68;28:68;30:68","38:0.0020717382859244404;28:0.001972032693426329;30:0.0020103677353142946","0.087158203125","Yes"
"30","273.49591681587","93.29873332663564","0.0103759765625","0.016357421875","0.00439453125","2584","0.000486987288904637","36","0.000486987288904637","0","0.000486987288904637","0.000486987288904637","31:0.0024261336661127175;29:0.002124611390097675","31:68;29:68","31:0.0021004257701491558;29:0.0020103677353142946","0.0103759765625","Yes"
"31","153.71857783472103","68.4576839549869","0.0244140625","0.03759765625","0.01123046875","2584","0.00040579509020396824","36","0.00040579509020396824","0","0.00040579509020396824","0.00040579509020396824","30:0.0024261336661127175;32:0.0024225830713557606;18:0.0022050849619665858","30:68;32:68;18:68","30:0.0021004257701491558;32:0.002413169519258518;18:0.0025012470034521395","0.0244140625","Yes"
"32","321.31250540737267","52.20805681107153","0.0079345703125","0.01220703125","0.003662109375","2584","0.00027485195830297024","36","0.00027485195830297024","0","0.00027485195830297024","0.00027485195830297024","31:0.0024225830713557606;33:0.002398029632805082","31:68;33:68","31:0.002413169519258518;33:0.003966223946527958","0.0079345703125","Yes"
"33","134.93084055451922","140.40109542224428","0.0103759765625","0.0146484375","0.006103515625","2584","0.00019584255188391235","36","0.00019584255188391235","0","0.00019584255188391235","0.00019584255188391235","39:0.0015038081502458944;32:0.002398029632805082;34:0.001981290256728524","39:68;32:68;34:68","39:0.0037705774886681587;32:0.003966223946527958;34:0.0012945979877402591","0.0103759765625","Yes"
"34","182.007890609866","149.0764448451225","0.00390625","0.00732421875","0.00048828125","2584","0.000399512410059014","36","0.000399512410059014","0","0.000399512410059014","0.000399512410059014","33:0.001981290256728524;35:0.0028107639963656783","33:68;35:68","33:0.0012945979877402591;35:0.001935195191963196","0.00390625","Yes"
"35","255.90679243860276","318.739361139398","0.0361328125","0.025634765625","0.046630859375","2584","0.00018810283445225742","36","0.00018810283445225742","0","0.00018810283445225742","0.00018810283445225742","19:0.002377000446617844;34:0.0028107639963656783","19:80;34:68","19:0.0016490431356688817;34:0.001935195191963196","0.0361328125","Yes"
"36","198.44702607301517","105.21683118830948","0.0096435546875","0.017822265625","0.00146484375","2584","0.0021999201446017244","36","0.0021999201446017244","0","0.0021999201446017244","0.0021999201446017244","41:0.007403401432987039;21:0.002987818670563941","41:68;21:68","41:0.0028159696011245128;21:0.0021170694743061214","0.0096435546875","Yes"
"37","137.47339198552427","7.0353164181150865","0.038330078125","0.064208984375","0.012451171875","2584","0.000830146928481599","36","0.000830146928481599","0","0.000830146928481599","0.000830146928481599","45:0.004494184249184824;25:0.004672059765493036","45:68;25:68","45:0.006108690529312427;25:0.007554041376074544","0.038330078125","Yes"
"38","105.25750422383508","95.19602758849008","0.014404296875","0.0263671875","0.00244140625","2584","0.0005178632469330376","36","0.0005178632469330376","0","0.0005178632469330376","0.0005178632469330376","29:0.0022383068785329086;49:0.0029995180495741014","29:68;49:68","29:0.0020717382859244404;49:0.0021689339653485074","0.014404296875","Yes"
"39","180.91198846530452","148.58575509876945","0.0267333984375","0.0361328125","0.017333984375","2584","0.0003131004550311168","36","0.0003131004550311168","0","0.0003131004550311168","0.0003131004550311168","53:0.0016385838301681;33:0.0015038081502458944","53:68;33:68","53:0.0018984382036149883;33:0.0037705774886681587","0.0267333984375","Yes"
"40","161.9362474463059","92.0947974665883","0.095947265625","0.0576171875","0.13427734375","2584","0.00022930301386012066","36","0.00022930301386012066","0","0.00022930301386012066","0.00022930301386012066","41:0.15418082392159807","41:68","41:0.08748683729729032","0.095947265625","Yes"
"41","172.0514533352381","31.61423239674572","0.0068359375","0.0126953125","0.0009765625","2584","0.00023485523812506495","36","0.00023485523812506495","0","0.00023485523812506495","0.00023485523812506495","40:0.15418082392159807;42:0.01158958767586274;36:0.007403401432987039","40:68;42:68;36:68","40:0.08748683729729032;42:0.004896370157908642;36:0.0028159696011245128","0.0068359375","Yes"
"42","141.63506802011085","78.35889716384357","0.0098876953125","0.015869140625","0.00390625","2584","0.0003866436564395022","36","0.0003866436564395022","0","0.0003866436564395022","0.0003866436564395022","41:0.01158958767586274;43:0.005666457668752012","41:68;43:68","41:0.004896370157908642;43:0.0038223522699384616","0.0098876953125","Yes"
"43","269.36636954042757","93.84953632018929","0.010009765625","0.013427734375","0.006591796875","2584","0.0005046974170209044","36","0.0005046974170209044","0","0.0005046974170209044","0.0005046974170209044","42:0.005666457668752012;56:0.0021073729687753617;44:0.0014591271481765866","42:68;56:68;44:68","42:0.0038223522699384616;56:0.0018883385773990624;44:0.0023621045222183","0.010009765625","Yes"
"44","242.9962719984549","176.20782693155604","0.0108642578125","0.0107421875","0.001220703125","2584","0.0003682351037240136","36","0.0003682351037240136","0","0.0003682351037240136","0.0003682351037240136","45:0.002363213367877426;43:0.0014591271481765866","45:68;43:68","45:0.002261453199246505;43:0.0023621045222183","0.0108642578125","Yes"
"45","101.08534012655373","108.19556862338497","0.0203857421875","0.04052734375","0.000244140625","2584","0.0004453919088373756","36","0.0004453919088373756","0","0.0004453919088373756","0.0004453919088373756","44:0.002363213367877426;46:0.003275786507081352;37:0.004494184249184824","44:68;46:68;37:68","44:0.002261453199246505;46:0.002479400556682193;37:0.006108690529312427","0.0203857421875","Yes"
"46","231.86411589395854","118.19460200636034","0.013427734375","0.02490234375","0.001953125","2584","0.0004887683798368399","36","0.0004887683798368399","0","0.0004887683798368399","0.0004887683798368399","45:0.003275786507081352;47:0.0018289788213773361","45:68;47:68","45:0.002479400556682193;47:0.0011537003904164567","0.013427734375","Yes"
